last_updated,target,temp_c,is_day,wind_kph,wind_degree,pressure_mb,humidity,cloud,feelslike_c,windchill_c,heatindex_c,dewpoint_c,vis_km,gust_kph,uv,wind_degree_sin,wind_degree_cos,lat,lon,futur_target
1736308800,0.0,14.0,0,22.3,216,1008.0,79,62,12.2,12.2,14.0,10.3,10.0,38.0,0.0,-0.587785252292473,-0.8090169943749475,44.8333,-0.5667,0.0
1736312400,0.0,13.9,0,23.8,214,1008.0,78,50,12.0,12.0,13.9,10.1,10.0,39.8,0.0,-0.5591929034707467,-0.8290375725550417,44.8333,-0.5667,0.0
1736316000,0.0,13.8,0,23.8,217,1007.0,76,25,11.9,11.9,13.8,9.7,10.0,40.0,0.0,-0.6018150231520484,-0.7986355100472928,44.8333,-0.5667,0.0
1736319600,0.0,13.9,0,24.8,217,1007.0,73,22,12.0,12.0,13.9,9.2,10.0,41.4,0.0,-0.6018150231520484,-0.7986355100472928,44.8333,-0.5667,0.0
1736323200,0.0,14.0,1,25.6,217,1007.0,70,19,12.1,12.1,14.1,8.6,10.0,42.8,4.0,-0.6018150231520484,-0.7986355100472928,44.8333,-0.5667,0.0
1736326800,0.0,14.2,1,26.6,217,1007.0,67,15,12.2,12.2,14.2,8.1,10.0,44.5,4.0,-0.6018150231520484,-0.7986355100472928,44.8333,-0.5667,0.0
1736330400,0.0,14.7,1,27.4,217,1007.0,63,27,13.4,13.4,14.7,7.8,10.0,44.3,4.0,-0.6018150231520484,-0.7986355100472928,44.8333,-0.5667,0.0
1736334000,0.0,15.2,1,28.4,216,1006.0,60,38,14.6,14.6,15.2,7.4,10.0,43.9,5.0,-0.587785252292473,-0.8090169943749475,44.8333,-0.5667,0.0
1736337600,0.0,15.8,1,29.2,216,1006.0,56,50,15.8,15.8,15.8,7.1,10.0,43.7,5.0,-0.587785252292473,-0.8090169943749475,44.8333,-0.5667,0.0
1736341200,0.0,15.6,1,29.9,219,1006.0,56,67,15.6,15.6,15.6,7.0,10.0,44.6,4.0,-0.6293203910498376,-0.7771459614569708,44.8333,-0.5667,0.0
1736344800,0.0,15.5,1,30.2,223,1005.0,57,83,15.5,15.5,15.5,6.9,10.0,45.4,5.0,-0.6819983600624984,-0.7313537016191706,44.8333,-0.5667,0.0
1736348400,0.0,15.3,1,31.0,227,1005.0,57,100,15.3,15.3,15.3,6.8,10.0,46.3,4.0,-0.7313537016191705,-0.6819983600624986,44.8333,-0.5667,0.5
1736352000,0.5,14.2,1,25.6,223,1005.0,68,98,13.6,13.6,14.2,8.0,9.7,38.2,3.0,-0.6819983600624984,-0.7313537016191706,44.8333,-0.5667,0.9
1736355600,0.9,13.0,0,20.2,220,1006.0,79,95,11.9,11.9,13.0,9.1,9.3,30.2,0.0,-0.6427876096865393,-0.766044443118978,44.8333,-0.5667,1.36
1736359200,1.36,11.9,0,14.8,216,1006.0,90,93,10.3,10.3,11.9,10.3,9.0,21.9,0.0,-0.587785252292473,-0.8090169943749475,44.8333,-0.5667,1.1
1736362800,1.1,12.0,0,16.2,219,1006.0,87,88,10.2,10.2,12.0,9.9,9.0,25.9,0.0,-0.6293203910498376,-0.7771459614569708,44.8333,-0.5667,0.9
1736366400,0.9,12.0,0,18.0,222,1007.0,84,84,10.1,10.1,12.0,9.5,9.0,30.2,0.0,-0.6691306063588582,-0.7431448254773942,44.8333,-0.5667,0.7
1736370000,0.7,12.1,0,19.4,226,1007.0,82,79,10.1,10.1,12.1,9.1,9.0,34.5,0.0,-0.7193398003386512,-0.6946583704589973,44.8333,-0.5667,0.6
1736290800,0.0,8.6,0,14.8,276,1011.0,63,4,6.2,6.2,8.6,1.9,10.0,26.0,0.0,-0.9945218953682734,0.1045284632676529,43.7,7.25,0.0
1736294400,0.0,8.5,0,13.3,281,1011.0,64,4,6.3,6.3,8.5,2.0,10.0,23.4,0.0,-0.981627183447664,0.1908089953765451,43.7,7.25,0.0
1736298000,0.0,8.4,0,11.9,285,1011.0,64,5,6.4,6.4,8.4,2.1,10.0,21.0,0.0,-0.9659258262890684,0.2588190451025203,43.7,7.25,0.0
1736301600,0.0,8.4,0,10.4,306,1011.0,64,6,6.6,6.6,8.4,1.9,10.0,18.5,0.0,-0.8090169943749476,0.5877852522924729,43.7,7.25,0.0
1736305200,0.0,8.4,0,7.6,320,1011.0,64,9,7.2,7.2,8.4,1.9,10.0,13.2,0.0,-0.6427876096865396,0.7660444431189778,43.7,7.25,0.0
1736308800,0.0,8.4,0,7.9,335,1011.0,64,6,7.2,7.2,8.5,2.1,10.0,14.0,0.0,-0.4226182617406992,0.90630778703665,43.7,7.25,0.0
1736312400,0.0,8.6,0,7.2,3,1011.0,65,6,7.6,7.6,8.6,2.5,10.0,12.5,0.0,0.0523359562429438,0.9986295347545738,43.7,7.25,0.0
1736316000,0.0,8.9,0,8.3,13,1012.0,68,6,7.6,7.6,8.9,3.4,10.0,14.0,0.0,0.224951054343865,0.9743700647852352,43.7,7.25,0.0
1736319600,0.0,9.3,0,6.1,29,1013.0,68,9,8.5,8.5,9.3,3.8,10.0,10.1,0.0,0.484809620246337,0.8746197071393957,43.7,7.25,0.0
1736323200,0.0,9.8,1,3.6,45,1013.0,68,12,9.4,9.4,9.8,4.1,10.0,6.1,3.0,0.7071067811865476,0.7071067811865476,43.7,7.25,0.0
1736326800,0.0,10.3,1,1.4,61,1014.0,67,15,10.3,10.3,10.3,4.5,10.0,2.1,4.0,0.8746197071393957,0.4848096202463371,43.7,7.25,0.0
1736330400,0.0,10.7,1,1.4,72,1014.0,68,12,10.7,10.7,10.7,5.0,10.0,1.8,4.0,0.9510565162951536,0.3090169943749474,43.7,7.25,0.0
1736334000,0.0,11.1,1,1.1,83,1014.0,68,9,11.1,11.1,11.1,5.4,10.0,1.4,4.0,0.992546151641322,0.1218693434051474,43.7,7.25,0.0
1736337600,0.0,11.6,1,1.1,94,1014.0,68,6,11.6,11.6,11.6,5.9,10.0,1.4,4.0,0.9975640502598242,-0.0697564737441253,43.7,7.25,0.0
1736341200,0.0,11.7,1,1.4,70,1014.0,68,8,11.7,11.7,11.7,6.1,10.0,1.8,4.0,0.9396926207859084,0.3420201433256688,43.7,7.25,0.0
1736344800,0.0,11.8,1,1.8,45,1014.0,69,10,11.8,11.8,11.8,6.3,10.0,2.5,4.0,0.7071067811865476,0.7071067811865476,43.7,7.25,0.0
1736348400,0.0,12.0,1,2.2,20,1014.0,69,12,12.0,12.0,12.0,6.5,10.0,3.0,4.0,0.3420201433256687,0.9396926207859084,43.7,7.25,0.0
1736352000,0.0,11.7,1,2.5,66,1014.0,72,37,11.7,11.7,11.7,6.8,10.0,3.6,3.0,0.9135454576426008,0.4067366430758002,43.7,7.25,0.0
1736355600,0.0,11.5,0,2.5,112,1015.0,74,61,11.5,11.5,11.5,7.0,10.0,4.0,0.0,0.9271838545667874,-0.374606593415912,43.7,7.25,0.01
1736359200,0.01,11.2,0,2.9,159,1015.0,76,85,11.2,11.2,11.2,7.3,10.0,4.4,0.0,0.3583679495453002,-0.9335804264972016,43.7,7.25,0.0
1736362800,0.0,11.1,0,5.4,106,1015.0,77,90,10.7,10.7,11.1,7.3,10.0,9.0,0.0,0.9612616959383188,-0.275637355816999,43.7,7.25,0.0
1736366400,0.0,11.0,0,8.3,54,1015.0,78,95,10.2,10.2,11.0,7.4,10.0,13.7,0.0,0.8090169943749475,0.5877852522924731,43.7,7.25,0.01
1736370000,0.01,10.9,0,10.8,2,1015.0,79,100,9.6,9.6,10.9,7.5,10.0,18.3,0.0,0.0348994967025009,0.9993908270190958,43.7,7.25,0.0
1736290800,0.0,5.8,0,20.5,239,1006.0,78,75,2.1,2.1,5.8,2.3,10.0,36.4,0.0,-0.8571673007021121,-0.5150380749100544,48.65,-2.0167,0.0
1736294400,0.0,5.9,0,18.7,245,1006.0,78,41,2.3,2.3,5.9,2.4,10.0,33.1,0.0,-0.9063077870366502,-0.4226182617406991,48.65,-2.0167,0.0
1736298000,0.0,6.2,0,15.5,249,1005.0,77,100,3.1,3.1,6.2,2.5,10.0,26.4,0.0,-0.9335804264972016,-0.3583679495453007,48.65,-2.0167,0.02
1736301600,0.02,6.5,0,11.5,249,1005.0,76,77,4.2,4.2,6.5,2.7,10.0,18.7,0.0,-0.9335804264972016,-0.3583679495453007,48.65,-2.0167,0.07
1736305200,0.07,6.3,0,6.8,221,1005.0,78,65,5.0,5.0,6.3,2.8,10.0,11.0,0.0,-0.656059028990507,-0.7547095802227721,48.65,-2.0167,0.65
1736308800,0.65,5.9,0,9.4,191,1004.0,83,100,3.9,3.9,5.9,3.3,2.0,14.7,0.0,-0.1908089953765447,-0.981627183447664,48.65,-2.0167,1.25
1736312400,1.25,5.5,0,10.4,180,1003.0,89,100,3.1,3.1,5.5,3.7,9.0,15.6,0.0,1.2246467991473532e-16,-1.0,48.65,-2.0167,1.51
1736316000,1.51,5.1,0,9.7,143,1002.0,92,100,2.8,2.8,5.1,3.9,9.0,14.1,0.0,0.6018150231520482,-0.7986355100472929,48.65,-2.0167,1.7
1736319600,1.7,4.8,0,15.1,124,1001.0,93,100,1.7,1.7,4.8,3.8,9.0,20.9,0.0,0.8290375725550417,-0.5591929034707467,48.65,-2.0167,1.9
1736323200,1.9,4.5,1,20.5,106,1001.0,94,100,0.5,0.5,4.5,3.7,9.0,28.1,1.0,0.9612616959383188,-0.275637355816999,48.65,-2.0167,2.14
1736326800,2.14,4.2,1,25.9,87,1000.0,95,100,-0.6,-0.6,4.2,3.5,9.0,34.9,1.0,0.9986295347545738,0.0523359562429439,48.65,-2.0167,1.8
1736330400,1.8,4.3,1,28.1,86,999.0,95,100,-0.7,-0.7,4.3,3.5,9.0,37.8,1.0,0.9975640502598242,0.0697564737441252,48.65,-2.0167,1.4
1736334000,1.4,4.3,1,30.2,84,998.0,95,100,-0.8,-0.8,4.3,3.5,9.0,40.7,1.0,0.9945218953682732,0.1045284632676534,48.65,-2.0167,1.04
1736337600,1.04,4.4,1,32.4,83,996.0,94,100,-0.9,-0.9,4.4,3.5,9.0,43.6,1.0,0.992546151641322,0.1218693434051474,48.65,-2.0167,0.8
1736341200,0.8,4.9,1,23.0,164,996.0,94,100,1.2,1.2,4.9,4.0,6.7,31.0,1.0,0.2756373558169992,-0.9612616959383188,48.65,-2.0167,0.5
1736344800,0.5,5.3,1,13.3,245,996.0,94,100,3.3,3.3,5.3,4.4,4.3,18.4,2.0,-0.9063077870366502,-0.4226182617406991,48.65,-2.0167,0.26
1736348400,0.26,5.8,1,4.0,326,996.0,94,100,5.4,5.4,5.8,4.8,2.0,5.9,2.0,-0.5591929034707466,0.8290375725550418,48.65,-2.0167,0.2
1736352000,0.2,5.8,1,4.7,244,996.0,93,100,5.2,5.2,5.8,4.9,4.7,7.2,2.0,-0.8987940462991668,-0.4383711467890777,48.65,-2.0167,0.2
1736355600,0.2,5.9,0,5.8,163,997.0,93,100,4.9,4.9,5.9,4.9,7.3,8.6,0.0,0.2923717047227366,-0.9563047559630355,48.65,-2.0167,0.1
1736359200,0.1,6.0,0,6.5,81,997.0,93,100,4.7,4.7,6.0,4.9,10.0,9.9,0.0,0.9876883405951378,0.1564344650402309,48.65,-2.0167,0.1
1736362800,0.1,6.0,0,11.9,72,997.0,94,100,3.8,3.8,6.0,5.0,10.0,17.6,0.0,0.9510565162951536,0.3090169943749474,48.65,-2.0167,0.1
1736366400,0.1,6.0,0,17.3,62,997.0,94,100,2.9,2.9,6.0,5.1,10.0,25.6,0.0,0.8829475928589269,0.4694715627858908,48.65,-2.0167,0.11
1736370000,0.11,6.0,0,22.7,53,998.0,95,100,2.0,2.0,6.0,5.3,10.0,33.2,0.0,0.7986355100472928,0.6018150231520484,48.65,-2.0167,0.1
1736290800,0.01,6.1,0,2.9,336,1006.0,73,90,6.1,6.1,6.1,1.7,10.0,5.6,0.0,-0.4067366430758001,0.913545457642601,48.4,-4.4833,0.03
1736294400,0.03,6.0,0,6.5,59,1005.0,75,100,4.7,4.7,6.0,2.0,10.0,12.2,0.0,0.8571673007021123,0.5150380749100542,48.4,-4.4833,0.11
1736298000,0.11,5.8,0,7.9,101,1005.0,80,100,4.1,4.1,5.8,2.7,10.0,13.9,0.0,0.981627183447664,-0.1908089953765448,48.4,-4.4833,1.1
